0.8220410000 0.7859310000 0.7508770000 0.7204230000 0.6927560000 0.6700430000 0.4084716773 0.7129339658 0.7192573943 0.7245330327 0.7325822003 0.9038182126 0.8318595509 0.7859310000 0.7508770000 0.7204230000 0.6927560000 0.5824328858 0.4853179801 0.4270010000 0.7129339658 0.7245330327 0.7288300439 0.4262302727 0.4351324774 0.4301878394 0.8888060000 0.8518060000 0.8220410000 0.7859310000 0.7508770000 0.7204230000 0.6927560000 0.6700430000 0.6863660000 0.5839250000 0.5365220000 0.5074330000 0.4724900000 0.4270010000 0.3873210000 0.7129339658 0.7192573943 0.7245330327 0.7288300439 0.7320944545 0.7312889276 0.4262302727 0.4351324774 0.4301878394 0.8372648037 0.7232929530 0.6307625043 0.6425534292 0.6597129043 0.6714457296 0.6675757631
0.4551660000 0.3829460000 0.3240600000 0.2819760000 0.2540720000 0.2376980000 0.2321554382 0.2797238704 0.2904898664 0.3004265833 0.3194942685 0.7001240374 0.4799774271 0.3829460000 0.3240600000 0.2819760000 0.2540720000 0.4496359360 0.2994450663 0.2434230000 0.2797238704 0.3004265833 0.3097072399 0.2445728625 0.2618202813 0.2777506174 0.6500820000 0.5303820000 0.4551660000 0.3829460000 0.3240600000 0.2819760000 0.2540720000 0.2376980000 0.5483650000 0.4537350000 0.4002170000 0.3333470000 0.2797800000 0.2434230000 0.2159970000 0.2797238704 0.2904898664 0.3004265833 0.3097072399 0.3178962290 0.3210586309 0.2445728625 0.2618202813 0.2777506174 0.3127249568 0.0707133081 0.0269941904 0.0397608449 0.0554098601 0.0668250816 0.0641999604
0.4186930000 0.3427450000 0.2790210000 0.2305520000 0.1965130000 0.1761330000 0.0372148906 0.2263104077 0.2383460413 0.2491421452 0.2680789241 0.6649429177 0.4432811058 0.3427450000 0.2790210000 0.2305520000 0.1965130000 0.2340936865 0.0752817805 0.0413460000 0.2263104077 0.2491421452 0.2587755979 0.0503739320 0.0620096803 0.0683334711 0.6117640000 0.4932320000 0.4186930000 0.3427450000 0.2790210000 0.2305520000 0.1965130000 0.1761330000 0.3590410000 0.2318870000 0.1725510000 0.1037510000 0.0587680000 0.0413460000 0.0290330000 0.2263104077 0.2383460413 0.2491421452 0.2587755979 0.2666934148 0.2682815036 0.0503739320 0.0620096803 0.0683334711 0.3100335078 0.0715020836 0.0273944610 0.0416142541 0.0559389034 0.0644868877 0.0588573496
0.4506810000 0.3789080000 0.3200270000 0.2776060000 0.2488870000 0.2317540000 0.1480385806 0.2757935300 0.2864921871 0.2960205833 0.3131636299 0.6940802670 0.4751965346 0.3789080000 0.3200270000 0.2776060000 0.2488870000 0.3772852207 0.2149454035 0.1584740000 0.2757935300 0.2960205833 0.3045486789 0.1610011308 0.1789980146 0.1949949895 0.6437000000 0.5250000000 0.4506810000 0.3789080000 0.3200270000 0.2776060000 0.2488870000 0.2317540000 0.4875940000 0.3806310000 0.3223590000 0.2504650000 0.1943420000 0.1584740000 0.1321000000 0.2757935300 0.2864921871 0.2960205833 0.3045486789 0.3118075303 0.3135923004 0.1610011308 0.1789980146 0.1949949895 0.3107200716 0.0696316109 0.0263659687 0.0395043918 0.0546835038 0.0651263077 0.0614748423
0.4987670000 0.4334110000 0.3801360000 0.3426620000 0.3178350000 0.3032440000 0.2129328994 0.3428240715 0.3521207176 0.3601509276 0.3741213867 0.7238421858 0.5214900264 0.4334110000 0.3801360000 0.3426620000 0.3178350000 0.4317316789 0.2785451197 0.2235300000 0.3428240715 0.3601509276 0.3671172933 0.2248862872 0.2425766615 0.2591912773 0.6778720000 0.5676520000 0.4987670000 0.4334110000 0.3801360000 0.3426620000 0.3178350000 0.3032440000 0.5360390000 0.4356710000 0.3801100000 0.3125230000 0.2588360000 0.2235300000 0.1973170000 0.3428240715 0.3521207176 0.3601509276 0.3671172933 0.3730115078 0.3739217608 0.2248862872 0.2425766615 0.2591912773 0.3408719138 0.0820912563 0.0330587388 0.0465297096 0.0636875042 0.0768438807 0.0748187238
0.2760690000 0.1973830000 0.1377830000 0.1009570000 0.0770730000 0.0647620000 0.0526967403 0.1001718795 0.1115672235 0.1218642933 0.1404455038 0.5627733716 0.3020072596 0.1973830000 0.1377830000 0.1009570000 0.0770730000 0.2558394720 0.1001805710 0.0594580000 0.1001718795 0.1218642933 0.1311771561 0.0655246406 0.0791041229 0.0880900452 0.4942070000 0.3547010000 0.2760690000 0.1973830000 0.1377830000 0.1009570000 0.0770730000 0.0647620000 0.3610560000 0.2533960000 0.2010620000 0.1302010000 0.0827670000 0.0594580000 0.0414580000 0.1001718795 0.1115672235 0.1218642933 0.1311771561 0.1390193306 0.1413350727 0.0655246406 0.0791041229 0.0880900452 0.2101484737 0.0390243282 0.0120121035 0.0232209782 0.0326923421 0.0360451654 0.0295795799
0.5287400000 0.4566430000 0.3915880000 0.3367760000 0.2976580000 0.2735910000 0.0462130470 0.3299566918 0.3421391670 0.3533905319 0.3739179785 0.7377704401 0.5511704326 0.4566430000 0.3915880000 0.3367760000 0.2976580000 0.2617076199 0.0852689096 0.0500180000 0.3299566918 0.3533905319 0.3637427490 0.0615743626 0.0730105807 0.0777789741 0.6959020000 0.5967380000 0.5287400000 0.4566430000 0.3915880000 0.3367760000 0.2976580000 0.2735910000 0.4137130000 0.2665770000 0.1895500000 0.1152020000 0.0679060000 0.0500180000 0.0385890000 0.3299566918 0.3421391670 0.3533905319 0.3637427490 0.3723904116 0.3746754067 0.0615743626 0.0730105807 0.0777789741 0.4478531242 0.1619758804 0.0864340595 0.1060099144 0.1250284795 0.1381719085 0.1327925814
0.7237370000 0.6962500000 0.6725500000 0.6553390000 0.6402550000 0.6289360000 0.1290590551 0.6532720743 0.6581738101 0.6616128767 0.6642262228 0.8382341501 0.7338986147 0.6962500000 0.6725500000 0.6553390000 0.6402550000 0.4014337187 0.2000465398 0.1328580000 0.6532720743 0.6616128767 0.6635952094 0.1474292653 0.1645446640 0.1815226099 0.8122830000 0.7545420000 0.7237370000 0.6962500000 0.6725500000 0.6553390000 0.6402550000 0.6289360000 0.5457330000 0.4147730000 0.3323090000 0.2442000000 0.1744350000 0.1328580000 0.1126350000 0.6532720743 0.6581738101 0.6616128767 0.6635952094 0.6643197750 0.6611021887 0.1474292653 0.1645446640 0.1815226099 0.5762269045 0.2883410361 0.2019312784 0.2226384993 0.2424177018 0.2580267281 0.2551045965
0.5038490000 0.4391780000 0.3829540000 0.3378850000 0.3046620000 0.2835510000 0.0486182329 0.3314307647 0.3424025399 0.3524075966 0.3705005627 0.7154130431 0.5247973312 0.4391780000 0.3829540000 0.3378850000 0.3046620000 0.2493391739 0.0864454964 0.0522640000 0.3314307647 0.3524075966 0.3615156728 0.0620222993 0.0736844253 0.0806790137 0.6697250000 0.5673540000 0.5038490000 0.4391780000 0.3829540000 0.3378850000 0.3046620000 0.2835510000 0.3779070000 0.2490850000 0.1862340000 0.1154590000 0.0696160000 0.0522640000 0.0407370000 0.3314307647 0.3424025399 0.3524075966 0.3615156728 0.3691390509 0.3712497748 0.0620222993 0.0736844253 0.0806790137 0.3489506934 0.0909246124 0.0384355576 0.0533425266 0.0700084861 0.0816153254 0.0776448803
0.6294700000 0.5841400000 0.5460930000 0.5187810000 0.4985420000 0.4849430000 0.1068857733 0.5195873763 0.5261540944 0.5308542172 0.5355137777 0.7920907128 0.6455059219 0.5841400000 0.5460930000 0.5187810000 0.4985420000 0.3783612066 0.1849060241 0.1159900000 0.5195873763 0.5308542172 0.5337997787 0.1214216970 0.1431834707 0.1652746615 0.7581980000 0.6780830000 0.6294700000 0.5841400000 0.5460930000 0.5187810000 0.4985420000 0.4849430000 0.5151530000 0.3883820000 0.3123480000 0.2277570000 0.1600500000 0.1159900000 0.0884470000 0.5195873763 0.5261540944 0.5308542172 0.5337997787 0.5354063091 0.5319489223 0.1214216970 0.1431834707 0.1652746615 0.4727644262 0.1703465908 0.0928721233 0.1109245456 0.1326593258 0.1503934166 0.1489963404
